Bird,ORICOLL,AGECOLL,MTHCOLL,AGECURR,scapsH,scapsS,scapsB,breastH,breastS,breastB,crownH,crownS,crownB
194,arquata,1y,jun,1912,35.60611765,46.71254902,4.960392157,28.74776471,62.55019608,18.2654902,NA,NA,NA
195,arquata,ad,dec,1936,NA,NA,NA,30.28517647,62.87098039,26.94901961,NA,NA,NA
196,arquata,ad,sep,1900,31.97223529,61.91921569,10.99568627,29.71341176,61.82431373,24.11647059,27.40376471,58.71764706,14.34156863
197,arquata,ad,dec,1895,32.112,62.6745098,14.18431373,30.53929412,64.46470588,22.23058824,30.21458824,58.27098039,14.05803922
198,arquata,1y,aug,1892,33.61694118,57.12941176,8.834901961,31.05882353,59.3027451,23.99921569,28.85223529,60.71843137,10.32196078
199,arquata,1y,sep,1913,30.43482353,58.26509804,10.13490196,31.42729412,56.27764706,26.87176471,27.24988235,59.8,17.89254902
200,arquata,ad,sep,1933,30.48,58.93215686,12.69176471,30.27388235,56.41490196,28.63803922,27.30776471,62.17803922,17.17254902
201,arquata,ad,dec,1897,30.81458824,58.62235294,10.60196078,29.96752941,64.76784314,20.5,28.61788235,60.2545098,9.583921569
202,arquata,ad,dec,1990,34.22258824,58.76784314,9.502745098,30.45317647,60.9345098,26.49686275,28.49929412,59.64156863,17.81372549
203,arquata,ad,nov,1993,31.52470588,59.05529412,9.95372549,32.14305882,58.91215686,29.28470588,31.98635294,57.48039216,10.93019608
204,arquata,1y,aug,1870,25.96235294,59.80039216,7.316078431,31.344,59.59490196,25.27803922,NA,NA,NA
205,arquata,ad,feb,1871,28.36094118,60.20980392,11.67411765,30.40094118,61.48745098,24.29803922,27.90917647,61.79764706,18.15254902
206,arquata,ad,dec,1895,32.93929412,56.72980392,12.73568627,31.33129412,60.60784314,32.10941176,27.75388235,58.27137255,19.86980392
207,arquata,ad,jun,1913,31.86917647,57.87490196,10.17019608,30.49835294,60.48705882,25.71294118,27.62258824,60.14078431,12.26117647
208,arquata,ad,feb,1914,32.45364706,59.75921569,10.33254902,30.40376471,61.55686275,25.9,30.97835294,63.35647059,12.68980392
209,arquata,ad,jan,1907,31.21976471,60.66117647,11.71647059,30.76658824,62.58588235,22.34196078,29.15435294,61.80823529,13.15921569
210,arquata,1y,sep,1905,27.92047059,59.40588235,11.86627451,30.41082353,57.03058824,28.60823529,26.56658824,57.88862745,16.19882353
211,arquata,1y,sep,1871,30.264,58.08117647,10.4572549,30.98541176,59.74901961,25.02784314,NA,NA,NA
212,arquata,1y,sep,1869,33.96,60.42,9.569803922,29.72752941,62.50666667,28.31529412,28.05176471,65.24,13.94117647
213,arquata,ad,oct,1934,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,arquata,ad,apr,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,arquata,ad,apr,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,arquata,NA,apr,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,arquata,NA,oct,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,arquata,NA,mar,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,arquata,ad,dec,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,arquata,ad,sep,1921,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,arquata,ad,sep,1960,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,arquata,1y,aug,1886,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,arquata,1Y,jul,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,arquata,ad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,arquata,ad,mar,1969,NA,NA,NA,NA,NA,NA,NA,NA,NA
